creator_clean,gender,birth_year,match_status
"Bonnet, Sylvain",male,1963,matched
Rembrandt,male,1606,matched
"Audran, Gérard",male,1640,matched
"Oppenort, Gilles-Marie",unknown,,not_found
"Picart, Étienne",male,1632,matched
"Corrège, Le . Model Painter",unknown,,not_found
"Cotte, Robert de",male,1656,matched
"Boudan, Louis",male,1601,matched
"Leclerc, Sébastien",male,1637,matched
"Chapman, John",male,,matched
"Vanloo, Carle",unknown,,not_found
"Saunders, Joseph",male,1773,matched
"Dennel, Antoine-François",unknown,,not_found
"Dabos, Charles. Model Painter",unknown,,not_found
"Green, Valentine",male,1739,matched
"Porta, Ferdinando . 0442",unknown,,not_found
Boutteville,unknown,,not_found
"Joullain, François",male,1697,matched
"Debucourt, Philibert-Louis",male,1755,matched
"Perronneau, Jean-Baptiste",male,1715,matched
"Audran, Jean",male,1667,matched
Exhibition. Portraits. 1910. Undetermined function,unknown,,not_found
"Saint-Aubin, Augustin de",unknown,,not_found
"Dupuis, Charles",male,1918,matched
"Desplaces, Louis",male,1682,matched
"Van Loo, Louis Mich . Model Painter",unknown,,not_found
"Raymond, Jean",male,1919,matched
"Horthemels, Frédéric",male,1688,matched
"Nicolet, Bernard Antoine",unknown,,not_found
Veronese . Model Painter,unknown,,not_found
"Roman, Jules . Model Painter",unknown,,not_found
"Audran, Benoît",male,1661,matched
"Simonneau, Philippe",male,1685,matched
"The Sweat, Nicolas",unknown,,not_found
"Surugue, Louis",male,1686,matched
"Verhelst, Egid",male,1733,matched
"Couché, Jacques",male,1750,matched
"Tardieu, Nicolas Henri",unknown,,not_found
"Le Bas, Jacques-Philippe",unknown,,not_found
"Le Clerc ou Leclerc, Pierre Thomas",unknown,,not_found
"The Prince, John the Baptist",unknown,,not_found
Anonyme,male,1986,matched
Qian long . Auteur du texte,unknown,,not_found
Long Qian . Author of the text,unknown,,not_found
"Le Sueur, Nicolas",male,1545,matched
"Saint-Aubin, Gabriel de",male,1724,matched
"Hennequin, Philippe-Auguste . Model designer",unknown,,not_found
Long Qian . Content Sponsor,unknown,,not_found
"Ingouf, François Robert",unknown,,not_found
Qian long . Commanditaire du contenu,unknown,,not_found
"Bruegel, Jan . Model Painter",unknown,,not_found
"Gérard, François-Pascal-Simon. Fonction indéterminée",unknown,,not_found
"Riesener, Henri-François . 0442",unknown,,not_found
Bordes,unknown,,not_found
"Lacauchie, Alexander",unknown,,not_found
"Philippe, Jules",unknown,,not_found
"Lacauchie, Alexandre",male,1814,matched
"Jackson, John",male,1769,matched
"Roqueplan, Camille Joseph Etienne . Lithographe",unknown,,not_found
"Ingres, Jean-Auguste-Dominique . 0442",unknown,,not_found
"Cicéri, Pierre-Luc-Charles",unknown,,not_found
Lhéritier,male,1807,matched
Pitrot,unknown,,not_found
"Jorand, Jean-Baptiste-Joseph",unknown,,not_found
Roze . Lithographe,unknown,,not_found
"Valentin, Henry . Model designer",unknown,,not_found
"Labrouste, Henri",male,1801,matched
"Monnier, Henry",male,,matched
"Valentin, Henry",male,1820,matched
Maleuvre . Workshop,unknown,,not_found
"Daumier, Honoré",male,1808,matched
"Moonlight, Henry . Model designer",unknown,,not_found
"Holbain, B. d'après Besselievre",unknown,,not_found
"Canon, L.",unknown,,not_found
Scheffer Ary,unknown,,not_found
"Gosse, Nicolas",male,1787,matched
"Le Cerf, Louis",unknown,,not_found
"Meynier, Charles",male,1763,matched
"Lacoma y Fontanet, Francesco",unknown,,not_found
"Legare, Joseph",unknown,,not_found
Alphonse Giroux,male,1776,matched
Grandeber / Au Petit Dunkerque,unknown,,not_found
A. Rodien,unknown,,not_found
"Thouar, Arthur . Auteur de la conférence. Chef de la mission",unknown,,not_found
"Zorn, Anders",male,1860,matched
"Desboutin, Marcellin",male,1823,matched
"Germain, Louis",male,1897,matched
"Trichon, Auguste",male,1814,matched
"Schoenhaupt, Louis",male,1822,matched
"Valentin, A.",male,1980,matched
"Geoffroy, Charles",male,1793,matched
